[2025-01-16 20:52:55,477][INFO] Running PROJECT: CRC-DX, P LEARNING RATE: 0.001, OPTIMIZER: ADAMW, NUM EPOCHS: 50, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.1
[2025-01-16 20:52:55,477][INFO] params["in_chans"]=[200, 16]  python run_model0.py --proj CRC-DX --num_epochs 50  --plr 1e-3  --smoothing 0.1
[2025-01-16 20:52:55,479][INFO] params["dims"]=[512, 512]
[2025-01-16 20:52:55,479][INFO] params["out_chans"]=[16, 8]
[2025-01-16 20:52:55,479][INFO] params["heads"]=[8, 4]
[2025-01-16 20:52:55,479][INFO] params["dropout"]=[0.8, 0.4, 0.4]
[2025-01-16 20:54:42,744][INFO] Epoch[1/50], loss:1.2237, CE loss:1.2237
[2025-01-16 20:54:42,745][INFO] Epoch[1/50], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-16 20:54:42,745][INFO] Epoch[1/50], train AUC: 0.7180(0.6096-0.8137), test AUC: 0.5731(0.4288-0.7106)
[2025-01-16 20:56:27,894][INFO] Epoch[2/50], loss:0.6701, CE loss:0.6701
[2025-01-16 20:56:27,895][INFO] Epoch[2/50], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-16 20:56:27,895][INFO] Epoch[2/50], train AUC: 0.7744(0.6877-0.8572), test AUC: 0.6690(0.5255-0.7956)
[2025-01-16 20:58:14,491][INFO] Epoch[3/50], loss:0.4723, CE loss:0.4723
[2025-01-16 20:58:14,491][INFO] Epoch[3/50], train B-acc: 0.6373(0.5605-0.7126), test B-acc: 0.6533(0.5570-0.7510)
[2025-01-16 20:58:14,491][INFO] Epoch[3/50], train AUC: 0.8023(0.7191-0.8731), test AUC: 0.7054(0.5839-0.8198)
[2025-01-16 21:00:04,113][INFO] Epoch[4/50], loss:0.4347, CE loss:0.4347
[2025-01-16 21:00:04,113][INFO] Epoch[4/50], train B-acc: 0.5602(0.5117-0.6214), test B-acc: 0.5370(0.5000-0.5909)
[2025-01-16 21:00:04,114][INFO] Epoch[4/50], train AUC: 0.8260(0.7435-0.8951), test AUC: 0.7133(0.5848-0.8284)
[2025-01-16 21:01:53,576][INFO] Epoch[5/50], loss:0.4100, CE loss:0.4100
[2025-01-16 21:01:53,577][INFO] Epoch[5/50], train B-acc: 0.5991(0.5388-0.6675), test B-acc: 0.5750(0.5161-0.6522)
[2025-01-16 21:01:53,577][INFO] Epoch[5/50], train AUC: 0.8480(0.7686-0.9098), test AUC: 0.7330(0.6149-0.8404)
[2025-01-16 21:03:36,834][INFO] Epoch[6/50], loss:0.4004, CE loss:0.4004
[2025-01-16 21:03:36,834][INFO] Epoch[6/50], train B-acc: 0.6131(0.5478-0.6847), test B-acc: 0.5938(0.5238-0.6786)
[2025-01-16 21:03:36,834][INFO] Epoch[6/50], train AUC: 0.8627(0.7797-0.9227), test AUC: 0.7620(0.6434-0.8632)
[2025-01-16 21:05:20,691][INFO] Epoch[7/50], loss:0.3938, CE loss:0.3938
[2025-01-16 21:05:20,691][INFO] Epoch[7/50], train B-acc: 0.6144(0.5503-0.6869), test B-acc: 0.5926(0.5227-0.6739)
[2025-01-16 21:05:20,691][INFO] Epoch[7/50], train AUC: 0.8810(0.7938-0.9376), test AUC: 0.7771(0.6635-0.8810)
[2025-01-16 21:07:04,477][INFO] Epoch[8/50], loss:0.3863, CE loss:0.3863
