[2025-01-21 19:50:58,405][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-21 19:50:58,407][INFO] params["in_chans"]=[200, 16]python run_model0.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-21 19:50:58,407][INFO] params["dims"]=[512, 512]  温度参数为0.6
[2025-01-21 19:50:58,407][INFO] params["out_chans"]=[16, 8]
[2025-01-21 19:50:58,407][INFO] params["heads"]=[8, 4]
[2025-01-21 19:50:58,407][INFO] params["dropout"]=[0.8, 0.4, 0.4]
[2025-01-21 19:54:41,087][INFO] Epoch[1/80], loss:0.5646, CE loss:0.5646
[2025-01-21 19:54:41,087][INFO] Epoch[1/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-21 19:54:41,087][INFO] Epoch[1/80], train AUC: 0.7161(0.6115-0.8017), test AUC: 0.6687(0.5547-0.7850)
[2025-01-21 19:57:45,879][INFO] Epoch[2/80], loss:0.5380, CE loss:0.5380
[2025-01-21 19:57:45,879][INFO] Epoch[2/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-21 19:57:45,880][INFO] Epoch[2/80], train AUC: 0.7738(0.6868-0.8569), test AUC: 0.6901(0.5718-0.7977)
[2025-01-21 20:00:07,580][INFO] Epoch[3/80], loss:0.5292, CE loss:0.5292
[2025-01-21 20:00:07,581][INFO] Epoch[3/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-21 20:00:07,581][INFO] Epoch[3/80], train AUC: 0.8016(0.7164-0.8702), test AUC: 0.7017(0.5878-0.8042)
[2025-01-21 20:02:28,692][INFO] Epoch[4/80], loss:0.5226, CE loss:0.5226
[2025-01-21 20:02:28,693][INFO] Epoch[4/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-21 20:02:28,693][INFO] Epoch[4/80], train AUC: 0.8119(0.7314-0.8795), test AUC: 0.7157(0.6043-0.8192)
[2025-01-21 20:04:41,236][INFO] Epoch[5/80], loss:0.5189, CE loss:0.5189
[2025-01-21 20:04:41,236][INFO] Epoch[5/80], train B-acc: 0.5092(0.4938-0.5396), test B-acc: 0.5000(0.5000-0.5000)
