[2025-01-23 14:25:29,729][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-23 14:25:29,729][INFO] params["in_chans"]=[200, 16] python run_model.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-23 14:25:29,729][INFO] params["dims"]=[512, 512] 温度参数为0.55
[2025-01-23 14:25:29,729][INFO] params["out_chans"]=[16, 8]
[2025-01-23 14:25:29,729][INFO] params["heads"]=[8, 4]
[2025-01-23 14:25:29,731][INFO] params["dropout"]=[0.8, 0.4, 0.4]
[2025-01-23 14:27:49,993][INFO] Epoch[1/80], loss:1.7264, CE loss:0.5887, info NCE loss:1.1377
[2025-01-23 14:27:49,994][INFO] Epoch[1/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 14:27:49,994][INFO] Epoch[1/80], train AUC: 0.5367(0.4500-0.6277), test AUC: 0.5905(0.4725-0.7076)
[2025-01-23 14:30:07,243][INFO] Epoch[2/80], loss:1.6863, CE loss:0.5486, info NCE loss:1.1377
[2025-01-23 14:30:07,244][INFO] Epoch[2/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 14:30:07,244][INFO] Epoch[2/80], train AUC: 0.6586(0.5724-0.7371), test AUC: 0.6349(0.5047-0.7525)
[2025-01-23 14:32:23,696][INFO] Epoch[3/80], loss:1.6743, CE loss:0.5367, info NCE loss:1.1376
[2025-01-23 14:32:23,696][INFO] Epoch[3/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 14:32:23,696][INFO] Epoch[3/80], train AUC: 0.7266(0.6399-0.7999), test AUC: 0.6667(0.5572-0.7861)
[2025-01-23 14:34:39,600][INFO] Epoch[4/80], loss:1.6682, CE loss:0.5307, info NCE loss:1.1375
[2025-01-23 14:34:39,600][INFO] Epoch[4/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 14:34:39,600][INFO] Epoch[4/80], train AUC: 0.7670(0.6946-0.8383), test AUC: 0.6860(0.5703-0.7989)
[2025-01-23 14:36:59,093][INFO] Epoch[5/80], loss:1.6627, CE loss:0.5253, info NCE loss:1.1374
[2025-01-23 14:36:59,095][INFO] Epoch[5/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 14:36:59,095][INFO] Epoch[5/80], train AUC: 0.7941(0.7120-0.8652), test AUC: 0.6966(0.5783-0.8069)
[2025-01-23 14:39:17,166][INFO] Epoch[6/80], loss:1.6583, CE loss:0.5211, info NCE loss:1.1372
[2025-01-23 14:39:17,166][INFO] Epoch[6/80], train B-acc: 0.4979(0.4935-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 14:39:17,166][INFO] Epoch[6/80], train AUC: 0.8136(0.7421-0.8728), test AUC: 0.7108(0.5939-0.8166)
[2025-01-23 14:41:33,687][INFO] Epoch[7/80], loss:1.6543, CE loss:0.5174, info NCE loss:1.1369
[2025-01-23 14:41:33,688][INFO] Epoch[7/80], train B-acc: 0.4979(0.4934-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 14:41:33,688][INFO] Epoch[7/80], train AUC: 0.8311(0.7590-0.8858), test AUC: 0.7236(0.6104-0.8314)
[2025-01-23 14:43:50,958][INFO] Epoch[8/80], loss:1.6501, CE loss:0.5135, info NCE loss:1.1366
[2025-01-23 14:43:50,958][INFO] Epoch[8/80], train B-acc: 0.5455(0.5080-0.5976), test B-acc: 0.5161(0.5000-0.5536)
