[2025-01-23 17:20:06,149][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-23 17:20:06,150][INFO] params["in_chans"]=[200, 16] python run_model0.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-23 17:20:06,150][INFO] params["dims"]=[512, 512]温度参数为0.55
[2025-01-23 17:20:06,150][INFO] params["out_chans"]=[16, 8]
[2025-01-23 17:20:06,150][INFO] params["heads"]=[8, 4]
[2025-01-23 17:20:06,151][INFO] params["dropout"]=[0.8, 0.4, 0.4]
[2025-01-23 17:21:46,046][INFO] Epoch[1/80], loss:0.5937, CE loss:0.5937
[2025-01-23 17:21:46,047][INFO] Epoch[1/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 17:21:46,047][INFO] Epoch[1/80], train AUC: 0.5292(0.4224-0.6202), test AUC: 0.5746(0.4519-0.6858)
[2025-01-23 17:23:39,266][INFO] Epoch[2/80], loss:0.5526, CE loss:0.5526
[2025-01-23 17:23:39,267][INFO] Epoch[2/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 17:23:39,267][INFO] Epoch[2/80], train AUC: 0.6816(0.5852-0.7630), test AUC: 0.6435(0.5251-0.7560)
[2025-01-23 17:25:26,788][INFO] Epoch[3/80], loss:0.5376, CE loss:0.5376
[2025-01-23 17:25:26,789][INFO] Epoch[3/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 17:25:26,790][INFO] Epoch[3/80], train AUC: 0.7578(0.6748-0.8277), test AUC: 0.6832(0.5690-0.7934)
[2025-01-23 17:27:12,933][INFO] Epoch[4/80], loss:0.5309, CE loss:0.5309
[2025-01-23 17:27:12,934][INFO] Epoch[4/80], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-01-23 17:27:12,934][INFO] Epoch[4/80], train AUC: 0.7878(0.7071-0.8546), test AUC: 0.7002(0.5807-0.8072)
[2025-01-23 17:29:01,326][INFO] Epoch[5/80], loss:0.5254, CE loss:0.5254
